"('xml',)",[['xml']]
"('2.5',)",[['2.5']]
"('program flow', 'ports', 'biasing')","[['program flow', 'ports', 'biasing']]"
"('peripheral', 'support multiple', 'registers', 'split', 'altogether', 'programmable')","[['peripheral', 'altogether', 'support multiple'], ['peripheral', 'altogether', 'split', 'registers'], ['peripheral', 'altogether', 'programmable'], ['support multiple', 'altogether', 'split', 'registers'], ['support multiple', 'altogether', 'programmable'], ['registers', 'split', 'altogether', 'programmable']]"
"('planning', 'map', 'asserting', 'applying', 'settings', 'detailing', 'synchronous', 'messages', 'locations', 'logical', 'set', 'traffic', 'massive', 'following', 'rates', 'buffering', 'extremely')","[['planning', 'map', 'set', 'asserting'], ['planning', 'map', 'set', 'applying'], ['planning', 'map', 'settings'], ['planning', 'map', 'detailing'], ['planning', 'map', 'set', 'messages', 'following', 'synchronous'], ['planning', 'map', 'locations'], ['planning', 'map', 'logical'], ['planning', 'map', 'massive'], ['planning', 'map', 'set', 'traffic', 'rates'], ['planning', 'map', 'buffering'], ['planning', 'map', 'set', 'extremely'], ['asserting', 'set', 'applying'], ['asserting', 'set', 'map', 'settings'], ['asserting', 'set', 'map', 'detailing'], ['asserting', 'set', 'messages', 'following', 'synchronous'], ['asserting', 'set', 'map', 'locations'], ['asserting', 'set', 'map', 'logical'], ['asserting', 'set', 'map', 'massive'], ['asserting', 'set', 'traffic', 'rates'], ['asserting', 'set', 'map', 'buffering'], ['asserting', 'set', 'extremely'], ['applying', 'set', 'map', 'settings'], ['applying', 'set', 'map', 'detailing'], ['applying', 'set', 'messages', 'following', 'synchronous'], ['applying', 'set', 'map', 'locations'], ['applying', 'set', 'map', 'logical'], ['applying', 'set', 'map', 'massive'], ['applying', 'set', 'traffic', 'rates'], ['applying', 'set', 'map', 'buffering'], ['applying', 'set', 'extremely'], ['settings', 'map', 'detailing'], ['settings', 'map', 'set', 'messages', 'following', 'synchronous'], ['settings', 'map', 'locations'], ['settings', 'map', 'logical'], ['settings', 'map', 'massive'], ['settings', 'map', 'set', 'traffic', 'rates'], ['settings', 'map', 'buffering'], ['settings', 'map', 'set', 'extremely'], ['detailing', 'map', 'set', 'messages', 'following', 'synchronous'], ['detailing', 'map', 'locations'], ['detailing', 'map', 'logical'], ['detailing', 'map', 'massive'], ['detailing', 'map', 'set', 'traffic', 'rates'], ['detailing', 'map', 'buffering'], ['detailing', 'map', 'set', 'extremely'], ['synchronous', 'following', 'messages', 'set', 'map', 'locations'], ['synchronous', 'following', 'messages', 'set', 'map', 'logical'], ['synchronous', 'following', 'messages', 'set', 'map', 'massive'], ['synchronous', 'following', 'messages', 'set', 'traffic', 'rates'], ['synchronous', 'following', 'messages', 'set', 'map', 'buffering'], ['synchronous', 'following', 'messages', 'set', 'extremely'], ['locations', 'map', 'logical'], ['locations', 'map', 'massive'], ['locations', 'map', 'set', 'traffic', 'rates'], ['locations', 'map', 'buffering'], ['locations', 'map', 'set', 'extremely'], ['logical', 'map', 'massive'], ['logical', 'map', 'set', 'traffic', 'rates'], ['logical', 'map', 'buffering'], ['logical', 'map', 'set', 'extremely'], ['massive', 'map', 'set', 'traffic', 'rates'], ['massive', 'map', 'buffering'], ['massive', 'map', 'set', 'extremely'], ['rates', 'traffic', 'set', 'map', 'buffering'], ['rates', 'traffic', 'set', 'extremely'], ['buffering', 'map', 'set', 'extremely']]"
"('never', 'maximum', 'minimum', '3.3', 'stable', 'absolute', 'low')","[['never', 'maximum', '3.3'], ['never', 'maximum', 'stable'], ['never', 'maximum', 'minimum', 'absolute'], ['never', 'maximum', 'low'], ['3.3', 'maximum', 'stable'], ['3.3', 'maximum', 'minimum', 'absolute'], ['3.3', 'maximum', 'low'], ['stable', 'maximum', 'minimum', 'absolute'], ['stable', 'maximum', 'low'], ['absolute', 'minimum', 'maximum', 'low']]"
"('transaction', 'hrxeop', 'hrxdn', 'hrxval', 'vss', 'm0', 'htxval', 'htxdn', 'htx_eop', 'htxstp')","[['hrxdn', 'transaction', 'hrxval'], ['hrxdn', 'transaction', 'hrxeop', 'm0'], ['hrxdn', 'transaction', 'htxval'], ['hrxdn', 'transaction', 'hrxeop', 'vss', 'htxdn'], ['hrxdn', 'transaction', 'htx_eop'], ['hrxdn', 'transaction', 'htxstp'], ['hrxval', 'transaction', 'hrxeop', 'm0'], ['hrxval', 'transaction', 'htxval'], ['hrxval', 'transaction', 'hrxeop', 'vss', 'htxdn'], ['hrxval', 'transaction', 'htx_eop'], ['hrxval', 'transaction', 'htxstp'], ['m0', 'hrxeop', 'transaction', 'htxval'], ['m0', 'hrxeop', 'vss', 'htxdn'], ['m0', 'hrxeop', 'transaction', 'htx_eop'], ['m0', 'hrxeop', 'transaction', 'htxstp'], ['htxval', 'transaction', 'hrxeop', 'vss', 'htxdn'], ['htxval', 'transaction', 'htx_eop'], ['htxval', 'transaction', 'htxstp'], ['htxdn', 'vss', 'hrxeop', 'transaction', 'htx_eop'], ['htxdn', 'vss', 'hrxeop', 'transaction', 'htxstp'], ['htx_eop', 'transaction', 'htxstp']]"
"('associated', 'interrupts', 'connections', 'contained', 'performed', 'flexible', 'block')","[['connections', 'block', 'interrupts', 'contained'], ['connections', 'block', 'flexible', 'associated', 'performed'], ['contained', 'interrupts', 'block', 'flexible', 'associated', 'performed']]"
"('issue hardware', 'thread switching', 'length transaction', 'instruction', 'hrxeop signal', 'processor are:', 'm1', 'board', 'transaction.', 'main', 'vss range', 'software')","[['issue hardware', 'hrxeop signal', 'vss range', 'thread switching'], ['issue hardware', 'hrxeop signal', 'length transaction'], ['issue hardware', 'hrxeop signal', 'instruction'], ['issue hardware', 'hrxeop signal', 'processor are:'], ['issue hardware', 'hrxeop signal', 'm1'], ['issue hardware', 'hrxeop signal', 'board'], ['issue hardware', 'hrxeop signal', 'transaction.'], ['issue hardware', 'hrxeop signal', 'main'], ['issue hardware', 'hrxeop signal', 'software'], ['thread switching', 'vss range', 'hrxeop signal', 'length transaction'], ['thread switching', 'vss range', 'hrxeop signal', 'instruction'], ['thread switching', 'vss range', 'hrxeop signal', 'processor are:'], ['thread switching', 'vss range', 'hrxeop signal', 'm1'], ['thread switching', 'vss range', 'hrxeop signal', 'board'], ['thread switching', 'vss range', 'hrxeop signal', 'transaction.'], ['thread switching', 'vss range', 'hrxeop signal', 'main'], ['thread switching', 'vss range', 'hrxeop signal', 'software'], ['length transaction', 'hrxeop signal', 'instruction'], ['length transaction', 'hrxeop signal', 'processor are:'], ['length transaction', 'hrxeop signal', 'm1'], ['length transaction', 'hrxeop signal', 'board'], ['length transaction', 'hrxeop signal', 'transaction.'], ['length transaction', 'hrxeop signal', 'main'], ['length transaction', 'hrxeop signal', 'software'], ['instruction', 'hrxeop signal', 'processor are:'], ['instruction', 'hrxeop signal', 'm1'], ['instruction', 'hrxeop signal', 'board'], ['instruction', 'hrxeop signal', 'transaction.'], ['instruction', 'hrxeop signal', 'main'], ['instruction', 'hrxeop signal', 'software'], ['processor are:', 'hrxeop signal', 'm1'], ['processor are:', 'hrxeop signal', 'board'], ['processor are:', 'hrxeop signal', 'transaction.'], ['processor are:', 'hrxeop signal', 'main'], ['processor are:', 'hrxeop signal', 'software'], ['m1', 'hrxeop signal', 'board'], ['m1', 'hrxeop signal', 'transaction.'], ['m1', 'hrxeop signal', 'main'], ['m1', 'hrxeop signal', 'software'], ['board', 'hrxeop signal', 'transaction.'], ['board', 'hrxeop signal', 'main'], ['board', 'hrxeop signal', 'software'], ['transaction.', 'hrxeop signal', 'main'], ['transaction.', 'hrxeop signal', 'software'], ['main', 'hrxeop signal', 'software']]"
"('tap controller',)",[['tap controller']]
"('dc', 'sstl')","[['dc', 'sstl']]"
"('whenever', 'streamed')","[['whenever', 'streamed']]"
"('device', 'host interface', 'x16')","[['host interface', 'device', 'x16']]"
"('systems', 'architecture')","[['systems', 'architecture']]"
"('ccbr interface', 'test specification', 'control.', 'device.""', 'jtag test', 'ieee1149.1', 'stopclock_in')","[['ccbr interface', 'control.', 'test specification'], ['ccbr interface', 'control.', 'device.""'], ['ccbr interface', 'control.', 'jtag test'], ['ccbr interface', 'control.', 'ieee1149.1'], ['ccbr interface', 'control.', 'stopclock_in'], ['test specification', 'control.', 'device.""'], ['test specification', 'control.', 'jtag test'], ['test specification', 'control.', 'ieee1149.1'], ['test specification', 'control.', 'stopclock_in'], ['device.""', 'control.', 'jtag test'], ['device.""', 'control.', 'ieee1149.1'], ['device.""', 'control.', 'stopclock_in'], ['jtag test', 'control.', 'ieee1149.1'], ['jtag test', 'control.', 'stopclock_in'], ['ieee1149.1', 'control.', 'stopclock_in']]"
"('use', 'resistors', 'consumption', 'termed', 'initially', 'share', '1.8', 'reduce', 'ranks', 'collectively', 'extracted', 'mac', 'internal', 'pulses', 'details', 'terminates', 'relates', 'services', 'traversing', 'optional', 'monitors')","[['resistors', 'terminates', 'use', 'traversing', 'consumption'], ['resistors', 'terminates', 'use', 'traversing', 'monitors', 'termed'], ['resistors', 'terminates', 'use', 'initially'], ['resistors', 'terminates', 'use', 'traversing', 'share'], ['resistors', 'terminates', 'use', 'traversing', 'monitors', 'services', '1.8'], ['resistors', 'terminates', 'use', 'traversing', 'reduce'], ['resistors', 'terminates', 'use', 'traversing', 'monitors', 'ranks'], ['resistors', 'terminates', 'use', 'traversing', 'monitors', 'collectively'], ['resistors', 'terminates', 'use', 'traversing', 'extracted'], ['resistors', 'terminates', 'use', 'traversing', 'mac'], ['resistors', 'terminates', 'use', 'traversing', 'internal'], ['resistors', 'terminates', 'use', 'pulses'], ['resistors', 'terminates', 'use', 'traversing', 'details'], ['resistors', 'terminates', 'use', 'traversing', 'optional', 'relates'], ['consumption', 'traversing', 'monitors', 'termed'], ['consumption', 'traversing', 'use', 'initially'], ['consumption', 'traversing', 'share'], ['consumption', 'traversing', 'monitors', 'services', '1.8'], ['consumption', 'traversing', 'reduce'], ['consumption', 'traversing', 'monitors', 'ranks'], ['consumption', 'traversing', 'monitors', 'collectively'], ['consumption', 'traversing', 'extracted'], ['consumption', 'traversing', 'mac'], ['consumption', 'traversing', 'internal'], ['consumption', 'traversing', 'use', 'pulses'], ['consumption', 'traversing', 'details'], ['consumption', 'traversing', 'optional', 'relates'], ['termed', 'monitors', 'traversing', 'use', 'initially'], ['termed', 'monitors', 'traversing', 'share'], ['termed', 'monitors', 'services', '1.8'], ['termed', 'monitors', 'traversing', 'reduce'], ['termed', 'monitors', 'ranks'], ['termed', 'monitors', 'collectively'], ['termed', 'monitors', 'traversing', 'extracted'], ['termed', 'monitors', 'traversing', 'mac'], ['termed', 'monitors', 'traversing', 'internal'], ['termed', 'monitors', 'traversing', 'use', 'pulses'], ['termed', 'monitors', 'traversing', 'details'], ['termed', 'monitors', 'traversing', 'optional', 'relates'], ['initially', 'use', 'traversing', 'share'], ['initially', 'use', 'traversing', 'monitors', 'services', '1.8'], ['initially', 'use', 'traversing', 'reduce'], ['initially', 'use', 'traversing', 'monitors', 'ranks'], ['initially', 'use', 'traversing', 'monitors', 'collectively'], ['initially', 'use', 'traversing', 'extracted'], ['initially', 'use', 'traversing', 'mac'], ['initially', 'use', 'traversing', 'internal'], ['initially', 'use', 'pulses'], ['initially', 'use', 'traversing', 'details'], ['initially', 'use', 'traversing', 'optional', 'relates'], ['share', 'traversing', 'monitors', 'services', '1.8'], ['share', 'traversing', 'reduce'], ['share', 'traversing', 'monitors', 'ranks'], ['share', 'traversing', 'monitors', 'collectively'], ['share', 'traversing', 'extracted'], ['share', 'traversing', 'mac'], ['share', 'traversing', 'internal'], ['share', 'traversing', 'use', 'pulses'], ['share', 'traversing', 'details'], ['share', 'traversing', 'optional', 'relates'], ['1.8', 'services', 'monitors', 'traversing', 'reduce'], ['1.8', 'services', 'monitors', 'ranks'], ['1.8', 'services', 'monitors', 'collectively'], ['1.8', 'services', 'monitors', 'traversing', 'extracted'], ['1.8', 'services', 'monitors', 'traversing', 'mac'], ['1.8', 'services', 'monitors', 'traversing', 'internal'], ['1.8', 'services', 'monitors', 'traversing', 'use', 'pulses'], ['1.8', 'services', 'monitors', 'traversing', 'details'], ['1.8', 'services', 'monitors', 'traversing', 'optional', 'relates'], ['reduce', 'traversing', 'monitors', 'ranks'], ['reduce', 'traversing', 'monitors', 'collectively'], ['reduce', 'traversing', 'extracted'], ['reduce', 'traversing', 'mac'], ['reduce', 'traversing', 'internal'], ['reduce', 'traversing', 'use', 'pulses'], ['reduce', 'traversing', 'details'], ['reduce', 'traversing', 'optional', 'relates'], ['ranks', 'monitors', 'collectively'], ['ranks', 'monitors', 'traversing', 'extracted'], ['ranks', 'monitors', 'traversing', 'mac'], ['ranks', 'monitors', 'traversing', 'internal'], ['ranks', 'monitors', 'traversing', 'use', 'pulses'], ['ranks', 'monitors', 'traversing', 'details'], ['ranks', 'monitors', 'traversing', 'optional', 'relates'], ['collectively', 'monitors', 'traversing', 'extracted'], ['collectively', 'monitors', 'traversing', 'mac'], ['collectively', 'monitors', 'traversing', 'internal'], ['collectively', 'monitors', 'traversing', 'use', 'pulses'], ['collectively', 'monitors', 'traversing', 'details'], ['collectively', 'monitors', 'traversing', 'optional', 'relates'], ['extracted', 'traversing', 'mac'], ['extracted', 'traversing', 'internal'], ['extracted', 'traversing', 'use', 'pulses'], ['extracted', 'traversing', 'details'], ['extracted', 'traversing', 'optional', 'relates'], ['mac', 'traversing', 'internal'], ['mac', 'traversing', 'use', 'pulses'], ['mac', 'traversing', 'details'], ['mac', 'traversing', 'optional', 'relates'], ['internal', 'traversing', 'use', 'pulses'], ['internal', 'traversing', 'details'], ['internal', 'traversing', 'optional', 'relates'], ['pulses', 'use', 'traversing', 'details'], ['pulses', 'use', 'traversing', 'optional', 'relates'], ['details', 'traversing', 'optional', 'relates']]"
"('4.6',)",[['4.6']]
"('v1.1', 'stopclock', 'pcie interface', 'transfer', 'bar apertures,', 'link negotiation', 'phy', 'pcie config', 'config space', 'x8', 'link', 'x4', 'main part', 'x2', 'pcie bar', 'reset and/or', 'x1', 'pcie specification', 'unit')","[['stopclock', 'v1.1', 'reset and/or', 'pcie interface'], ['stopclock', 'v1.1', 'reset and/or', 'pcie bar', 'transfer'], ['stopclock', 'v1.1', 'reset and/or', 'unit', 'bar apertures,'], ['stopclock', 'v1.1', 'reset and/or', 'unit', 'link negotiation'], ['stopclock', 'v1.1', 'reset and/or', 'pcie bar', 'phy'], ['stopclock', 'v1.1', 'reset and/or', 'pcie config'], ['stopclock', 'v1.1', 'reset and/or', 'unit', 'config space'], ['stopclock', 'v1.1', 'reset and/or', 'x8'], ['stopclock', 'v1.1', 'reset and/or', 'pcie bar', 'link'], ['stopclock', 'v1.1', 'reset and/or', 'x4'], ['stopclock', 'v1.1', 'reset and/or', 'unit', 'main part'], ['stopclock', 'v1.1', 'reset and/or', 'x2'], ['stopclock', 'v1.1', 'reset and/or', 'x1'], ['stopclock', 'v1.1', 'reset and/or', 'pcie specification'], ['pcie interface', 'reset and/or', 'pcie bar', 'transfer'], ['pcie interface', 'reset and/or', 'unit', 'bar apertures,'], ['pcie interface', 'reset and/or', 'unit', 'link negotiation'], ['pcie interface', 'reset and/or', 'pcie bar', 'phy'], ['pcie interface', 'reset and/or', 'pcie config'], ['pcie interface', 'reset and/or', 'unit', 'config space'], ['pcie interface', 'reset and/or', 'x8'], ['pcie interface', 'reset and/or', 'pcie bar', 'link'], ['pcie interface', 'reset and/or', 'x4'], ['pcie interface', 'reset and/or', 'unit', 'main part'], ['pcie interface', 'reset and/or', 'x2'], ['pcie interface', 'reset and/or', 'x1'], ['pcie interface', 'reset and/or', 'pcie specification'], ['transfer', 'pcie bar', 'reset and/or', 'unit', 'bar apertures,'], ['transfer', 'pcie bar', 'reset and/or', 'unit', 'link negotiation'], ['transfer', 'pcie bar', 'phy'], ['transfer', 'pcie bar', 'reset and/or', 'pcie config'], ['transfer', 'pcie bar', 'reset and/or', 'unit', 'config space'], ['transfer', 'pcie bar', 'reset and/or', 'x8'], ['transfer', 'pcie bar', 'link'], ['transfer', 'pcie bar', 'reset and/or', 'x4'], ['transfer', 'pcie bar', 'reset and/or', 'unit', 'main part'], ['transfer', 'pcie bar', 'reset and/or', 'x2'], ['transfer', 'pcie bar', 'reset and/or', 'x1'], ['transfer', 'pcie bar', 'reset and/or', 'pcie specification'], ['bar apertures,', 'unit', 'link negotiation'], ['bar apertures,', 'unit', 'reset and/or', 'pcie bar', 'phy'], ['bar apertures,', 'unit', 'reset and/or', 'pcie config'], ['bar apertures,', 'unit', 'config space'], ['bar apertures,', 'unit', 'reset and/or', 'x8'], ['bar apertures,', 'unit', 'reset and/or', 'pcie bar', 'link'], ['bar apertures,', 'unit', 'reset and/or', 'x4'], ['bar apertures,', 'unit', 'main part'], ['bar apertures,', 'unit', 'reset and/or', 'x2'], ['bar apertures,', 'unit', 'reset and/or', 'x1'], ['bar apertures,', 'unit', 'reset and/or', 'pcie specification'], ['link negotiation', 'unit', 'reset and/or', 'pcie bar', 'phy'], ['link negotiation', 'unit', 'reset and/or', 'pcie config'], ['link negotiation', 'unit', 'config space'], ['link negotiation', 'unit', 'reset and/or', 'x8'], ['link negotiation', 'unit', 'reset and/or', 'pcie bar', 'link'], ['link negotiation', 'unit', 'reset and/or', 'x4'], ['link negotiation', 'unit', 'main part'], ['link negotiation', 'unit', 'reset and/or', 'x2'], ['link negotiation', 'unit', 'reset and/or', 'x1'], ['link negotiation', 'unit', 'reset and/or', 'pcie specification'], ['phy', 'pcie bar', 'reset and/or', 'pcie config'], ['phy', 'pcie bar', 'reset and/or', 'unit', 'config space'], ['phy', 'pcie bar', 'reset and/or', 'x8'], ['phy', 'pcie bar', 'link'], ['phy', 'pcie bar', 'reset and/or', 'x4'], ['phy', 'pcie bar', 'reset and/or', 'unit', 'main part'], ['phy', 'pcie bar', 'reset and/or', 'x2'], ['phy', 'pcie bar', 'reset and/or', 'x1'], ['phy', 'pcie bar', 'reset and/or', 'pcie specification'], ['pcie config', 'reset and/or', 'unit', 'config space'], ['pcie config', 'reset and/or', 'x8'], ['pcie config', 'reset and/or', 'pcie bar', 'link'], ['pcie config', 'reset and/or', 'x4'], ['pcie config', 'reset and/or', 'unit', 'main part'], ['pcie config', 'reset and/or', 'x2'], ['pcie config', 'reset and/or', 'x1'], ['pcie config', 'reset and/or', 'pcie specification'], ['config space', 'unit', 'reset and/or', 'x8'], ['config space', 'unit', 'reset and/or', 'pcie bar', 'link'], ['config space', 'unit', 'reset and/or', 'x4'], ['config space', 'unit', 'main part'], ['config space', 'unit', 'reset and/or', 'x2'], ['config space', 'unit', 'reset and/or', 'x1'], ['config space', 'unit', 'reset and/or', 'pcie specification'], ['x8', 'reset and/or', 'pcie bar', 'link'], ['x8', 'reset and/or', 'x4'], ['x8', 'reset and/or', 'unit', 'main part'], ['x8', 'reset and/or', 'x2'], ['x8', 'reset and/or', 'x1'], ['x8', 'reset and/or', 'pcie specification'], ['link', 'pcie bar', 'reset and/or', 'x4'], ['link', 'pcie bar', 'reset and/or', 'unit', 'main part'], ['link', 'pcie bar', 'reset and/or', 'x2'], ['link', 'pcie bar', 'reset and/or', 'x1'], ['link', 'pcie bar', 'reset and/or', 'pcie specification'], ['x4', 'reset and/or', 'unit', 'main part'], ['x4', 'reset and/or', 'x2'], ['x4', 'reset and/or', 'x1'], ['x4', 'reset and/or', 'pcie specification'], ['main part', 'unit', 'reset and/or', 'x2'], ['main part', 'unit', 'reset and/or', 'x1'], ['main part', 'unit', 'reset and/or', 'pcie specification'], ['x2', 'reset and/or', 'x1'], ['x2', 'reset and/or', 'pcie specification'], ['x1', 'reset and/or', 'pcie specification']]"
"('entire', '4.1', 'removes', 'test', 'taken', 'conditions')","[['entire', 'removes', 'test', '4.1'], ['entire', 'removes', 'taken'], ['entire', 'removes', 'test', 'conditions'], ['4.1', 'test', 'removes', 'taken'], ['4.1', 'test', 'conditions'], ['taken', 'removes', 'test', 'conditions']]"
"('1.1.5', 'input-output')","[['1.1.5', 'input-output']]"
"('restarted', 'taking', 'serial', 'normally', 'jtag test specification', 'areas')","[['restarted', 'jtag test specification', 'taking'], ['restarted', 'jtag test specification', 'serial'], ['restarted', 'jtag test specification', 'normally'], ['restarted', 'jtag test specification', 'areas'], ['taking', 'jtag test specification', 'serial'], ['taking', 'jtag test specification', 'normally'], ['taking', 'jtag test specification', 'areas'], ['serial', 'jtag test specification', 'normally'], ['serial', 'jtag test specification', 'areas'], ['normally', 'jtag test specification', 'areas']]"
"('hdp',)",[['hdp']]
"('resynchronized', 'differential', 'programming', 'sstl clock', 'machine', 'state', 'requires', 'usual')","[['resynchronized', 'machine', 'programming'], ['resynchronized', 'machine', 'differential', 'sstl clock'], ['resynchronized', 'machine', 'differential', 'state'], ['resynchronized', 'machine', 'requires'], ['resynchronized', 'machine', 'usual'], ['programming', 'machine', 'differential', 'sstl clock'], ['programming', 'machine', 'differential', 'state'], ['programming', 'machine', 'requires'], ['programming', 'machine', 'usual'], ['sstl clock', 'differential', 'state'], ['sstl clock', 'differential', 'machine', 'requires'], ['sstl clock', 'differential', 'machine', 'usual'], ['state', 'differential', 'machine', 'requires'], ['state', 'differential', 'machine', 'usual'], ['requires', 'machine', 'usual']]"
"('bridge ccbr',)",[['bridge ccbr']]
"('software control', 'transaction type', 'hrxstp', 'core clock')","[['transaction type', 'hrxstp', 'software control', 'core clock']]"
"('addition', 'meet', 'board.', 'construct', 'construct dual-chip')","[['meet', 'addition', 'construct'], ['meet', 'addition', 'board.', 'construct dual-chip'], ['construct', 'addition', 'board.', 'construct dual-chip']]"
"('csx700 dram controller', 'additional', 'controls', 'general', '64', 'configurable')","[['additional', 'controls', '64', 'configurable', 'csx700 dram controller', 'general']]"
"('appropriate', 'speed', 'temperature', 'measurement')","[['appropriate', 'temperature', 'speed', 'measurement']]"
"('1.4',)",[['1.4']]
"('2.1.1',)",[['2.1.1']]
"('ordering', 'information')","[['ordering', 'information']]"
"('mechanical',)",[['mechanical']]
"('i/o signal',)",[['i/o signal']]
"('every', 'first')","[['every', 'first']]"
"('applied', 'subsystem', 'care', 'run', 'reset.')","[['applied', 'reset.', 'care', 'subsystem'], ['applied', 'reset.', 'run'], ['subsystem', 'care', 'reset.', 'run']]"
"('link configuration', 'reversal', 'polarity reversal')","[['link configuration', 'reversal', 'polarity reversal']]"
"('meets', '75', 'provided', 'transfers')","[['75', 'meets', 'transfers', 'provided']]"
"('accelerators', 'unparalleled', 'family')","[['accelerators', 'family', 'unparalleled']]"
"('isu',)",[['isu']]
"('lvttl',)",[['lvttl']]
"('operation', 'pulled')","[['operation', 'pulled']]"
"('base', 'resistor', 'required')","[['base', 'required', 'resistor']]"
"('channels', 'identifies', 'either', 'components', 'switched')","[['channels', 'identifies', 'either'], ['channels', 'identifies', 'components'], ['channels', 'identifies', 'switched'], ['either', 'identifies', 'components'], ['either', 'identifies', 'switched'], ['components', 'identifies', 'switched']]"
"('7.2', 'framemaker')","[['7.2', 'framemaker']]"
"('ddr', 'm1_dsq0', 'm1_dsq8')","[['m1_dsq0', 'ddr', 'm1_dsq8']]"
"('together', 'words')","[['together', 'words']]"
"('appropriate device,', 'bridge', '1.6', 'pin pair', 'monitor', 'hdp bus', 'speed port', 'latency access', 'fpu', 'frequency', 'device processor', 'on-chip sram', 'interrupt', 'transfer description', 'clearconnect bus,')","[['appropriate device,', 'bridge', 'interrupt', '1.6'], ['appropriate device,', 'bridge', 'interrupt', 'pin pair'], ['appropriate device,', 'bridge', 'device processor', 'monitor'], ['appropriate device,', 'bridge', 'hdp bus'], ['appropriate device,', 'bridge', 'speed port'], ['appropriate device,', 'bridge', 'latency access'], ['appropriate device,', 'bridge', 'interrupt', 'fpu'], ['appropriate device,', 'bridge', 'interrupt', 'frequency'], ['appropriate device,', 'bridge', 'on-chip sram'], ['appropriate device,', 'bridge', 'transfer description'], ['appropriate device,', 'bridge', 'clearconnect bus,'], ['1.6', 'interrupt', 'pin pair'], ['1.6', 'interrupt', 'bridge', 'device processor', 'monitor'], ['1.6', 'interrupt', 'bridge', 'hdp bus'], ['1.6', 'interrupt', 'bridge', 'speed port'], ['1.6', 'interrupt', 'bridge', 'latency access'], ['1.6', 'interrupt', 'fpu'], ['1.6', 'interrupt', 'frequency'], ['1.6', 'interrupt', 'bridge', 'on-chip sram'], ['1.6', 'interrupt', 'bridge', 'transfer description'], ['1.6', 'interrupt', 'bridge', 'clearconnect bus,'], ['pin pair', 'interrupt', 'bridge', 'device processor', 'monitor'], ['pin pair', 'interrupt', 'bridge', 'hdp bus'], ['pin pair', 'interrupt', 'bridge', 'speed port'], ['pin pair', 'interrupt', 'bridge', 'latency access'], ['pin pair', 'interrupt', 'fpu'], ['pin pair', 'interrupt', 'frequency'], ['pin pair', 'interrupt', 'bridge', 'on-chip sram'], ['pin pair', 'interrupt', 'bridge', 'transfer description'], ['pin pair', 'interrupt', 'bridge', 'clearconnect bus,'], ['monitor', 'device processor', 'bridge', 'hdp bus'], ['monitor', 'device processor', 'bridge', 'speed port'], ['monitor', 'device processor', 'bridge', 'latency access'], ['monitor', 'device processor', 'bridge', 'interrupt', 'fpu'], ['monitor', 'device processor', 'bridge', 'interrupt', 'frequency'], ['monitor', 'device processor', 'bridge', 'on-chip sram'], ['monitor', 'device processor', 'bridge', 'transfer description'], ['monitor', 'device processor', 'bridge', 'clearconnect bus,'], ['hdp bus', 'bridge', 'speed port'], ['hdp bus', 'bridge', 'latency access'], ['hdp bus', 'bridge', 'interrupt', 'fpu'], ['hdp bus', 'bridge', 'interrupt', 'frequency'], ['hdp bus', 'bridge', 'on-chip sram'], ['hdp bus', 'bridge', 'transfer description'], ['hdp bus', 'bridge', 'clearconnect bus,'], ['speed port', 'bridge', 'latency access'], ['speed port', 'bridge', 'interrupt', 'fpu'], ['speed port', 'bridge', 'interrupt', 'frequency'], ['speed port', 'bridge', 'on-chip sram'], ['speed port', 'bridge', 'transfer description'], ['speed port', 'bridge', 'clearconnect bus,'], ['latency access', 'bridge', 'interrupt', 'fpu'], ['latency access', 'bridge', 'interrupt', 'frequency'], ['latency access', 'bridge', 'on-chip sram'], ['latency access', 'bridge', 'transfer description'], ['latency access', 'bridge', 'clearconnect bus,'], ['fpu', 'interrupt', 'frequency'], ['fpu', 'interrupt', 'bridge', 'on-chip sram'], ['fpu', 'interrupt', 'bridge', 'transfer description'], ['fpu', 'interrupt', 'bridge', 'clearconnect bus,'], ['frequency', 'interrupt', 'bridge', 'on-chip sram'], ['frequency', 'interrupt', 'bridge', 'transfer description'], ['frequency', 'interrupt', 'bridge', 'clearconnect bus,'], ['on-chip sram', 'bridge', 'transfer description'], ['on-chip sram', 'bridge', 'clearconnect bus,'], ['transfer description', 'bridge', 'clearconnect bus,']]"
"('case', 'power consumption', 'chips', 'resources')","[['case', 'chips', 'power consumption'], ['case', 'chips', 'resources'], ['power consumption', 'chips', 'resources']]"
"('2.7.3',)",[['2.7.3']]
